xflr5 v6.58

NACA 2412 - 09
Reynolds =,  400000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.013,  0.191, -0.115,  0.876,  0.055, 0.0118,-0.4217
Cpi,Cpv
 0.4267, 0.3057
 0.2541, 0.2926
 0.1865, 0.2678
 0.1320, 0.2359
 0.0885, 0.1932
 0.0507, 0.1242
 0.0165, 0.0046
-0.0158,-0.1623
-0.0476,-0.1991
-0.0805,-0.2005
-0.1167,-0.2009
-0.1621,-0.2006
-0.2186,-0.2015
-0.4003,-0.2233
-0.5436,-0.2774
-0.5854,-0.3195
-0.4697,-0.3032
-0.2855,-0.2356
-0.1989,-0.1949
-0.1491,-0.1731
-0.1128,-0.1581
-0.0828,-0.1466
-0.0560,-0.1370
-0.0308,-0.1283
-0.0064,-0.1203
 0.0179,-0.1126
 0.0425,-0.1054
 0.0645,-0.0998
 0.0912,-0.0905
 0.1232,-0.0767
 0.1589,-0.0595
 0.1983,-0.0392
 0.2414,-0.0156
 0.2882, 0.0113
 0.3388, 0.0416
 0.3933, 0.0754
 0.4516, 0.1129
 0.5136, 0.1543
 0.5792, 0.1998
 0.6479, 0.2496
 0.7189, 0.3042
 0.7908, 0.3640
 0.8612, 0.4294
 0.9258, 0.5011
 0.9767, 0.5792
 1.0000, 0.6652
 0.9692, 0.7565
 0.8345, 0.8523
 0.5008, 0.9403
-0.2088, 0.9968
-1.5798, 0.9622
-3.8597, 0.7412
-6.6557, 0.2864
-8.7767,-0.2125
-8.9772,-0.4217
-7.9275,-0.2895
-6.6392,-0.2233
-5.5100,-0.2116
-4.6062,-0.2102
-3.8969,-0.2096
-3.3373,-0.2084
-2.8894,-0.1444
-2.5249,-0.0621
-2.2232,-0.0121
-1.9695, 0.0253
-1.7530, 0.0550
-1.5659, 0.0796
-1.4023, 0.1004
-1.2579, 0.1183
-1.1292, 0.1340
-1.0137, 0.1480
-0.9094, 0.1605
-0.8147, 0.1718
-0.7283, 0.1821
-0.6494, 0.1915
-0.5772, 0.2002
-0.5112, 0.2083
-0.4534, 0.2158
-0.4018, 0.2228
-0.3459, 0.2293
-0.2908, 0.2353
-0.2362, 0.2411
-0.1819, 0.2464
-0.1269, 0.2515
-0.0699, 0.2562
-0.0085, 0.2607
 0.0662, 0.2650
 0.1567, 0.2690
 0.4071, 0.2711
 0.2296, 0.2722
 0.1360, 0.2761
 0.1076, 0.2799
 0.0952, 0.2834
 0.0924, 0.2867
 0.0958, 0.2898
 0.1038, 0.2927
 0.1160, 0.2954
 0.1324, 0.2979
 0.1538, 0.3001
 0.1817, 0.3020
 0.2205, 0.3037
 0.2741, 0.3050
 0.4267, 0.3057


Reynolds =,  400000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.041, -0.540, -0.130,  0.864,  0.027, 0.0066,-5.4409
Cpi,Cpv
 0.4244, 0.0650
 0.2489, 0.0532
 0.1794, 0.0269
 0.1229, 0.0045
 0.0774,-0.0137
 0.0375,-0.0290
 0.0012,-0.0613
-0.0333,-0.1931
-0.0674,-0.3462
-0.1028,-0.3557
-0.1417,-0.3635
-0.1903,-0.3717
-0.2505,-0.3844
-0.4400,-0.4366
-0.5881,-0.5102
-0.6319,-0.5485
-0.5136,-0.5033
-0.3256,-0.3836
-0.2389,-0.3076
-0.1902,-0.2626
-0.1553,-0.2288
-0.1269,-0.2008
-0.1019,-0.1760
-0.0787,-0.1529
-0.0563,-0.1308
-0.0341,-0.1092
-0.0118,-0.0882
 0.0076,-0.0687
 0.0319,-0.0449
 0.0616,-0.0161
 0.0951, 0.0165
 0.1324, 0.0528
 0.1734, 0.0929
 0.2184, 0.1368
 0.2673, 0.1848
 0.3204, 0.2370
 0.3777, 0.2935
 0.4392, 0.3544
 0.5049, 0.4199
 0.5746, 0.4899
 0.6478, 0.5644
 0.7237, 0.6426
 0.8006, 0.7243
 0.8752, 0.8062
 0.9417, 0.8860
 0.9890, 0.9541
 0.9958, 0.9965
 0.9207, 0.9813
 0.6831, 0.8476
 0.1293, 0.4731
-0.9974,-0.3435
-2.9442,-1.8190
-5.4239,-3.7449
-7.4065,-5.2797
-7.7375,-5.4409
-6.9303,-4.8357
-5.8641,-4.6146
-4.9052,-4.5524
-4.1262,-4.2355
-3.5085,-3.1871
-3.0173,-2.5323
-2.6215,-2.1452
-2.2975,-1.8676
-2.0280,-1.6437
-1.8002,-1.4539
-1.6050,-1.2892
-1.4357,-1.1445
-1.2870,-1.0160
-1.1553,-0.9011
-1.0375,-0.7977
-0.9315,-0.7044
-0.8355,-0.6200
-0.7480,-0.5437
-0.6681,-0.4748
-0.5948,-0.4130
-0.5277,-0.3579
-0.4662,-0.3091
-0.4123,-0.2665
-0.3643,-0.2295
