xflr5 v6.58

NACA 2412 - 21
Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-15.000,    0.057, -0.452, -0.153,  0.836,  0.026, 0.0107,-5.6165
Cpi,Cpv
 0.4352, 0.0015
 0.2294,-0.0058
 0.1355,-0.0197
 0.0508,-0.0393
-0.0244,-0.0652
-0.0964,-0.0991
-0.1681,-0.1442
-0.2422,-0.2063
-0.3216,-0.2987
-0.4110,-0.4427
-0.5169,-0.4457
-0.6585,-0.4412
-0.8426,-0.4323
-1.4635,-0.4126
-2.0387,-0.4057
-2.2067,-0.4937
-1.7336,-0.5324
-1.1179,-0.4064
-0.8639,-0.3365
-0.7295,-0.2904
-0.6420,-0.2552
-0.5773,-0.2254
-0.5259,-0.1987
-0.4828,-0.1737
-0.4451,-0.1497
-0.4113,-0.1263
-0.3802,-0.1034
-0.3556,-0.0823
-0.3269,-0.0569
-0.2928,-0.0263
-0.2558, 0.0079
-0.2155, 0.0459
-0.1720, 0.0876
-0.1250, 0.1331
-0.0743, 0.1826
-0.0195, 0.2362
 0.0396, 0.2940
 0.1033, 0.3562
 0.1720, 0.4228
 0.2460, 0.4937
 0.3256, 0.5690
 0.4112, 0.6477
 0.5030, 0.7297
 0.6007, 0.8116
 0.7031, 0.8907
 0.8072, 0.9576
 0.9055, 0.9975
 0.9805, 0.9781
 0.9936, 0.8373
 0.8615, 0.4509
 0.4226,-0.3857
-0.5384,-1.8908
-2.0043,-3.8526
-3.4311,-5.4236
-4.0027,-5.6165
-3.8218,-4.9896
-3.3680,-4.7543
-2.8941,-4.6835
-2.4781,-3.9901
-2.1305,-3.0034
-1.8428,-2.4325
-1.6031,-2.0820
-1.4011,-1.8156
-1.2286,-1.5934
-1.0792,-1.4021
-0.9483,-1.2350
-0.8321,-1.0873
-0.7280,-0.9555
-0.6338,-0.8368
-0.5480,-0.7293
-0.4691,-0.6313
-0.3963,-0.5419
-0.3287,-0.4603
-0.2656,-0.3862
-0.2065,-0.3195
-0.1511,-0.2603
-0.0990,-0.2089
-0.0517,-0.1656
-0.0076,-0.1302
 0.0410,-0.1028
 0.0903,-0.0871
 0.1410,-0.0772
 0.1935,-0.0662
 0.2490,-0.0548
 0.3096,-0.0435
 0.3787,-0.0326
 0.4662,-0.0221
 0.5936,-0.0120
 0.8282,-0.0082
 0.6886,-0.0063
 0.5030, 0.0086
 0.4355, 0.0256
 0.3850, 0.0461
 0.3495, 0.0722
 0.3228, 0.0853
 0.3027, 0.0894
 0.2882, 0.0867
 0.2788, 0.0785
 0.2749, 0.0661
 0.2778, 0.0506
 0.2907, 0.0332
 0.3203, 0.0164
 0.4352, 0.0015


Reynolds =,  500000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.051, -0.275, -0.184,  0.836,  0.030, 0.0152,-4.7459
Cpi,Cpv
 0.4358,-0.0341
 0.2279,-0.0418
 0.1323,-0.0565
 0.0458,-0.0771
-0.0315,-0.1045
-0.1057,-0.1403
-0.1798,-0.1879
-0.2566,-0.2535
-0.3390,-0.3513
-0.4318,-0.5002
-0.5418,-0.5017
-0.6885,-0.4968
-0.8793,-0.4874
-1.5175,-0.4667
-2.1077,-0.4595
-2.2819,-0.5507
-1.7997,-0.5927
-1.1719,-0.4654
-0.9154,-0.3958
