xflr5 v6.58

NACA 2412 - 0
Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-14.000,    0.040, -1.048, -0.066,  1.000,  0.015,-0.0024,-8.6675
Cpi,Cpv
 0.4381,-0.0449
 0.2929,-0.0341
 0.2439,-0.0340
 0.2096,-0.0328
 0.1862,-0.0316
 0.1692,-0.0301
 0.1568,-0.0280
 0.1480,-0.0253
 0.1420,-0.0219
 0.1384,-0.0178
 0.1369,-0.0130
 0.1371,-0.0074
 0.1395,-0.0009
 0.1405, 0.0054
 0.1506, 0.0125
 0.1458, 0.0132
 0.1543, 0.0232
 0.1618, 0.0329
 0.1711, 0.0437
 0.1818, 0.0555
 0.1939, 0.0686
 0.2076, 0.0828
 0.2229, 0.0983
 0.2398, 0.1150
 0.2585, 0.1328
 0.2764, 0.1503
 0.2991, 0.1725
 0.3272, 0.2000
 0.3590, 0.2314
 0.3947, 0.2667
 0.4341, 0.3059
 0.4770, 0.3491
 0.5236, 0.3961
 0.5735, 0.4470
 0.6266, 0.5018
 0.6825, 0.5603
 0.7404, 0.6223
 0.7994, 0.6869
 0.8578, 0.7539
 0.9129, 0.8208
 0.9603, 0.8860
 0.9926, 0.9437
 0.9974, 0.9866
 0.9528, 0.9990
 0.8195, 0.9540
 0.5259, 0.7995
-0.0605, 0.4394
-1.1755,-0.3057
-3.1778,-1.7141
-6.3150,-4.0122
-9.9235,-6.7537
-12.4047,-8.6675
-12.2753,-8.4856
-10.6067,-7.8909
-8.7515,-7.7098
-7.1881,-6.1996
-5.9664,-4.7139
-5.0245,-3.9065
-4.2920,-3.3547
-3.7131,-2.9202
-3.2473,-2.5640
-2.8657,-2.2669
-2.5481,-2.0157
-2.2797,-1.8008
-2.0499,-1.6147
-1.8509,-1.4519
-1.6768,-1.3082
-1.5232,-1.1804
-1.3867,-1.0661
-1.2647,-0.9632
-1.1551,-0.8702
-1.0563,-0.7859
-0.9672,-0.7092
-0.8870,-0.6395
-0.8149,-0.5759
-0.7536,-0.5180
-0.7010,-0.4646
-0.6442,-0.4141
-0.5899,-0.3672
-0.5380,-0.3243
-0.4886,-0.2855
-0.4417,-0.2509
-0.3972,-0.2207
-0.3547,-0.1947
-0.3142,-0.1728
-0.2758,-0.1567
-0.2534,-0.1508
-0.2385,-0.1463
-0.2020,-0.1361
-0.1669,-0.1257
-0.1322,-0.1153
-0.0979,-0.1052
-0.0633,-0.0956
-0.0282,-0.0865
 0.0083,-0.0781
 0.0469,-0.0702
 0.0889,-0.0631
 0.1361,-0.0568
 0.1936,-0.0514
 0.2636,-0.0472
 0.4381,-0.0449


Reynolds =,  700000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
-13.000,    0.031, -1.058, -0.065,  1.000,  0.016,-0.0011,-8.2922
Cpi,Cpv
 0.4341, 0.0519
 0.2857, 0.0509
 0.2348, 0.0438
 0.1986, 0.0366
 0.1734, 0.0298
 0.1547, 0.0241
 0.1406, 0.0198
 0.1300, 0.0169
 0.1224, 0.0152
 0.1171, 0.0149
 0.1139, 0.0157
 0.1125, 0.0176
 0.1132, 0.0207
 0.1124, 0.0240
 0.1220, 0.0296
 0.1160, 0.0289
 0.1228, 0.0361
 0.1286, 0.0432
 0.1361, 0.0515
 0.1449, 0.0610
 0.1552, 0.0717
 0.1670, 0.0837
 0.1804, 0.0971
 0.1953, 0.1117
 0.2119, 0.1274
 0.2275, 0.1429
 0.2482, 0.1631
 0.2742, 0.1885
 0.3043, 0.2181
 0.3383, 0.2516
 0.3762, 0.2891
 0.4180, 0.3307
 0.4636, 0.3763
